4054,I251,I429,,
4001,I251,R570,,
3989,E149,N185,,
3977,C189,I469,,
3962,I251,I461,,
3935,I10,I499,,
3928,C509,I469,,
3924,J449,J961,,
3881,I251,I48,,
3807,K922,I469,,
3778,R092,I469,,
3774,I10,N19,,
3772,I64,J690,,
3754,J189,A419,I469,
3751,A419,R092,,
3745,N19,I500,,
3744,I10,I251,I219,
3733,K559,A419,,
3724,I10,R092,,
3716,N390,I469,,
3706,I509,I469,,
3644,N19,A419,,
3629,I251,I10,,
3608,I709,I64,,
3592,J449,I219,,
3572,J841,J969,,
3550,I48,I251,,
3538,J449,A419,,
3491,G931,I469,,
3472,I251,J189,,
3461,F03,R092,,
3453,I251,I490,,
3426,E785,I219,,
3417,C259,I469,,
3407,I10,E119,,
3398,I119,I469,,
3396,I251,I64,,
3383,I250,I500,,
3380,F03,A419,,
3369,G309,J690,,
3366,E149,N19,,
3342,I802,I269,,
3318,E785,I469,,
3302,N185,A419,,
3282,K746,I469,,
3214,I10,I629,,
3205,I259,I469,,
3189,J189,J449,,
3188,F03,R13,,
3175,I469,J969,,
3158,I500,I499,,
3154,F03,I500,,
3152,N179,J960,,
3128,I500,A419,,
3126,R628,F03,,
3119,J189,I500,,
3094,I10,R628,,
3073,I119,I500,,
3070,R53,I469,,
3065,C349,J960,,
3065,G309,J189,,
3050,I259,I500,,
3039,C80,J969,,
3023,F03,I251,,
3019,I219,J969,,
2976,N179,J969,,
2975,I709,I500,,
2974,I10,I250,,
2948,E119,I10,,
2897,A419,N179,,
2876,R99,A419,,
2876,J969,J189,,
2871,A419,A419,,
2858,E119,I500,,
2849,C61,I469,,
2811,I10,I500,I469,
2785,I500,R628,,
2785,I350,I469,,
2754,K631,A419,,
2753,I48,J969,,
2748,I10,I509,,
2701,E119,I219,,
2694,J960,A419,,
2694,N179,J189,,
2694,F03,E86,,
2690,I10,J189,,
2679,R090,I469,,
2677,E149,A419,,
2675,I251,F03,,
2672,I219,I499,,
2667,B182,K729,,
2640,I10,I709,,
2637,I64,R092,,
2631,E149,I64,,
2619,J449,R090,,
2618,F179,C349,,
2606,I38,I500,,
2605,J189,R688,,
2597,N189,I251,,
2589,F03,I10,,
2583,I10,G309,,
2569,I48,J449,,
2561,F102,K746,,
2556,I64,J189,,
2553,E149,I251,I469,
2546,E149,N189,,
2542,J189,J969,I469,
2531,I251,A419,,
2509,I500,N179,,
2506,I739,A419,,
2504,K729,I469,,
2488,N179,I500,,
2483,I272,I500,,
2482,I251,R628,,
2469,R688,A419,,
2464,D649,I469,,
2461,I500,I48,,
2458,I10,I251,I500,
2453,I469,I469,,
2450,I64,R628,,
2450,I959,I469,,
2440,R628,J969,,
2428,R570,I469,,
2413,E86,I469,,
2404,J449,J189,J969,
2392,K746,A419,,
2375,I119,I219,,
2372,I48,J189,,
2360,C349,A419,,
2352,J449,I10,,
2352,I48,I219,,
2345,J189,J80,,
2324,E149,J449,,
2321,F171,J449,,
2311,I251,I251,,
2309,I519,I469,,
2307,C509,J969,,
2307,G20,F03,,
2305,I509,J969,,
2304,J449,R628,,
2273,J90,J969,,
2270,K746,K922,,
2260,R54,I469,,
2253,I500,N19,,
2252,L899,A419,,
2242,I219,I219,,
2226,I251,G931,,
2213,G20,I469,,
2213,B182,K769,,
2205,F101,K746,,
2201,E872,I469,,
2168,G309,J969,,
2163,N185,J969,,
2149,I251,I255,I500,
2142,R628,R092,,
2131,I490,I469,,
2123,I10,I429,,
2115,J449,J969,I469,
2103,K566,A419,,
2091,I739,I469,,
2091,F03,I64,,
2072,F03,R64,,
2072,F03,J449,,
2032,I269,J969,,
2030,N185,I500,,
2027,J189,I219,,
2017,J439,J969,,
2016,I251,J960,,
2013,R54,R628,,
1990,A499,A419,,
1984,N19,J189,,
1982,B182,C220,,
1972,G20,J690,,
1971,E119,N185,,
1971,I10,I694,,
1927,A419,I219,,
1923,I500,J81,,
